Zvalue	Max	Min	zRange	zRangePrev	IO
9110	9110	9100	27	27	8000
9110	9110	9100	27	27	8000
9110	9110	9100	27	27	8000
9111	9110	9100	27	27	8000
9111	9110	9100	27	27	8000
9111	9110	9100	27	27	8000
9111	9110	9100	27	27	8000
9112	9110	9100	27	27	8000
9112	9110	9100	27	27	8000
9112	9110	9100	27	27	8000
9112	9110	9100	27	27	8000
9112	9110	9100	27	27	8000
9113	9110	9100	27	27	8000
9113	9110	9100	27	27	8000
9113	9110	9100	27	27	8000
9113	9110	9100	27	27	8000
9113	9110	9100	27	27	8000
9113	9110	9100	27	27	8000
9113	9110	9100	27	27	8000
9113	9110	9100	27	27	8000
9113	9110	9100	27	27	8000
9113	9110	9100	27	27	8000
9113	9110	9100	27	27	8000
9113	9110	9100	27	27	8000
9114	9110	9100	27	27	8000
9114	9110	9100	27	27	8000
9114	9110	9100	27	27	8000
9114	9110	9100	27	27	8000
9114	9110	9100	27	27	8000
9114	9110	9100	27	27	8000
9114	9110	9100	27	27	8000
9114	9110	9100	27	27	8000
9114	9110	9100	27	27	8000
9114	9110	9100	27	27	8000
9114	9110	9100	27	27	8000
9114	9110	9100	27	27	8000
9114	9110	9100	27	27	8000
9114	9110	9100	27	27	8000
9115	9110	9100	27	27	8000
9115	9110	9100	27	27	8000
9115	9110	9100	27	27	8000
9115	9110	9100	27	27	8000
9115	9110	9100	27	27	8000
9115	9110	9100	27	27	8000
9115	9110	9100	27	27	8000
9115	9110	9100	27	27	8000
9115	9110	9100	27	27	8000
9115	9110	9100	27	27	8000
9115	9110	9100	27	27	8000
9115	9110	9100	27	27	8000
9115	9110	9100	27	27	8000
9115	9110	9100	27	27	8000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9110	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9111	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9112	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9113	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
