Zvalue	Max	Min	zRange	zRangePrev	IO
-29161	10888	10832	56	56	7000
-29162	10888	10832	56	56	7000
-29165	10888	10832	56	56	7000
-29165	10888	10832	56	56	7000
-29162	10888	10832	56	56	7000
-29164	10888	10832	56	56	7000
-29161	10888	10832	56	56	7000
-29162	10888	10832	56	56	7000
-29162	10888	10832	56	56	7000
-29164	10888	10832	56	56	7000
-29161	10888	10832	56	56	7000
-29161	10888	10832	56	56	7000
-29160	10888	10832	56	56	7000
-29159	10888	10832	56	56	7000
-29161	10888	10832	56	56	7000
-29157	10888	10832	56	56	7000
-29159	10888	10832	56	56	7000
-29161	10888	10832	56	56	7000
-29157	10888	10832	56	56	7000
-29160	10888	10832	56	56	7000
-29161	10888	10832	56	56	7000
-29165	10888	10832	56	56	7000
-29159	10888	10832	56	56	7000
-29151	10888	10840	48	48	8000
-29161	10888	10840	48	48	8000
-29166	10888	10840	48	48	8000
-29169	10888	10840	48	48	8000
-29151	10888	10840	48	48	8000
-29147	10888	10840	48	48	8000
-29157	10888	10840	48	48	8000
-29161	10888	10840	48	48	8000
-29162	10888	10840	48	48	8000
-29158	10888	10840	48	48	8000
-29154	10888	10840	48	48	8000
-29154	10888	10840	48	48	8000
-29157	10888	10840	48	48	8000
-29162	10888	10840	48	48	8000
-29161	10888	10840	48	48	8000
-29159	10888	10840	48	48	8000
-29155	10888	10840	48	48	8000
-29153	10888	10840	48	48	8000
-29151	10888	10840	48	48	8000
-29157	10888	10840	48	48	8000
-29149	10888	10840	48	48	8000
-29162	10888	10840	48	48	8000
-29151	10888	10840	48	48	8000
-29152	10888	10840	48	48	8000
-29157	10888	10840	48	48	8000
-29154	10888	10840	48	48	8000
-29158	10888	10840	48	48	8000
-29158	10888	10840	48	48	8000
-29154	10888	10840	48	48	8000
-29158	10888	10840	48	48	8000
-29157	10888	10840	48	48	8000
-29157	10888	10840	48	48	8000
-29157	10888	10840	48	48	8000
-29159	10888	10840	48	48	8000
-29160	10888	10840	48	48	8000
-29155	10888	10840	48	48	8000
-29152	10888	10840	48	48	8000
-29158	10888	10840	48	48	8000
-29157	10888	10840	48	48	8000
-29155	10888	10840	48	48	8000
-29155	10888	10840	48	48	8000
-29154	10888	10840	48	48	8000
-29157	10888	10840	48	48	8000
-29159	10888	10840	48	48	8000
-29159	10888	10840	48	48	8000
-29157	10888	10840	48	48	8000
-29146	10888	10840	48	48	8000
-29149	10888	10840	48	48	8000
-29160	10888	10840	48	48	8000
-29174	10888	10840	48	48	8000
-29153	10888	10840	48	48	8000
-29147	10888	10840	48	48	8000
-29147	10888	10840	48	48	8000
-29162	10888	10840	48	48	8000
-29166	10888	10840	48	48	8000
-29155	10888	10840	48	48	8000
-29152	10888	10840	48	48	8000
-29153	10888	10840	48	48	8000
-29164	10888	10840	48	48	8000
-29166	10888	10840	48	48	8000
-29161	10888	10840	48	48	8000
-29159	10888	10840	48	48	8000
-29153	10888	10840	48	48	8000
-29151	10888	10840	48	48	8000
-29152	10888	10840	48	48	8000
-29148	10888	10840	48	48	8000
-29162	10888	10840	48	48	8000
-29160	10888	10840	48	48	8000
-29159	10888	10840	48	48	8000
-29157	10888	10840	48	48	8000
-29157	10888	10840	48	48	8000
-29157	10888	10840	48	48	8000
-29157	10888	10840	48	48	8000
-29159	10888	10840	48	48	8000
-29158	10888	10840	48	48	8000
-29157	10888	10840	48	48	8000
-29153	10888	10840	48	48	8000
-29157	10888	10840	48	48	8000
-29157	10888	10840	48	48	8000
-29157	10888	10840	48	48	8000
-29157	10888	10840	48	48	8000
-29154	10888	10840	48	48	8000
-29154	10888	10840	48	48	8000
-29155	10888	10840	48	48	8000
-29159	10888	10840	48	48	8000
-29154	10888	10840	48	48	8000
-29154	10888	10840	48	48	8000
-29159	10888	10840	48	48	8000
-29155	10888	10840	48	48	8000
-29154	10888	10840	48	48	8000
-29157	10888	10840	48	48	8000
-29169	10888	10840	48	48	8000
-29157	10904	10840	64	64	7000
-29146	10904	10840	64	64	7000
-29161	10904	10840	64	64	7000
-29165	10904	10840	64	64	7000
-29149	10904	10840	64	64	7000
-29162	10904	10840	64	64	7000
-29164	10904	10840	64	64	7000
-29152	10904	10840	64	64	7000
-29149	10904	10840	64	64	7000
-29152	10904	10840	64	64	7000
-29154	10904	10840	64	64	7000
-29165	10904	10840	64	64	7000
-29154	10904	10840	64	64	7000
-29155	10904	10840	64	64	7000
-29157	10904	10840	64	64	7000
-29158	10904	10840	64	64	7000
-29159	10904	10840	64	64	7000
-29155	10904	10840	64	64	7000
-29157	10904	10840	64	64	7000
-29157	10904	10840	64	64	7000
-29157	10904	10840	64	64	7000
-29158	10904	10840	64	64	7000
-29155	10904	10840	64	64	7000
-29158	10904	10840	64	64	7000
-29154	10904	10840	64	64	7000
-29155	10904	10840	64	64	7000
-29152	10904	10840	64	64	7000
-29161	10904	10840	64	64	7000
-29154	10904	10840	64	64	7000
-29157	10904	10840	64	64	7000
-29158	10904	10840	64	64	7000
-29159	10904	10840	64	64	7000
-29162	10904	10840	64	64	7000
-29148	10904	10840	64	64	7000
-29154	10904	10840	64	64	7000
-29161	10904	10840	64	64	7000
-29161	10904	10840	64	64	7000
-29151	10904	10840	64	64	7000
-29167	10904	10840	64	64	7000
-29167	10904	10840	64	64	7000
-29159	10904	10840	64	64	7000
-29152	10904	10840	64	64	7000
-29152	10904	10840	64	64	7000
-29160	10904	10840	64	64	7000
-29162	10904	10840	64	64	7000
-29157	10904	10840	64	64	7000
-29159	10904	10840	64	64	7000
-29161	10904	10840	64	64	7000
-29159	10904	10840	64	64	7000
-29160	10904	10840	64	64	7000
-29162	10904	10840	64	64	7000
-29159	10904	10840	64	64	7000
-29162	10904	10840	64	64	7000
-29164	10904	10840	64	64	7000
-29161	10904	10840	64	64	7000
-29159	10904	10840	64	64	7000
-29162	10904	10840	64	64	7000
-29159	10904	10840	64	64	7000
-29162	10904	10840	64	64	7000
-29161	10904	10840	64	64	7000
-29158	10904	10840	64	64	7000
-29162	10904	10840	64	64	7000
-29180	10904	10840	64	64	7000
-29158	10904	10840	64	64	7000
-29154	10904	10840	64	64	7000
-29173	10904	10840	64	64	7000
-29160	10904	10840	64	64	7000
-29158	10904	10840	64	64	7000
-29168	10904	10840	64	64	7000
-29172	10904	10840	64	64	7000
-29160	10904	10840	64	64	7000
-29157	10904	10840	64	64	7000
-29158	10904	10840	64	64	7000
-29153	10904	10840	64	64	7000
-29164	10904	10840	64	64	7000
-29155	10904	10840	64	64	7000
-29159	10904	10840	64	64	7000
-29159	10904	10840	64	64	7000
-29161	10904	10840	64	64	7000
-29159	10904	10840	64	64	7000
-29159	10904	10840	64	64	7000
-29159	10904	10840	64	64	7000
-29155	10904	10840	64	64	7000
-29152	10904	10840	64	64	7000
-29159	10904	10840	64	64	7000
-29164	10904	10840	64	64	7000
-29158	10904	10840	64	64	7000
-29160	10904	10840	64	64	7000
-29157	10904	10840	64	64	7000
-29164	10904	10840	64	64	7000
-29157	10904	10840	64	64	7000
-29161	10904	10840	64	64	7000
-29167	10904	10840	64	64	7000
-29151	10904	10840	64	64	7000
-29159	10904	10840	64	64	7000
-29159	10904	10840	64	64	7000
-29153	10904	10840	64	64	7000
-29159	10904	10840	64	64	7000
-29164	10904	10840	64	64	7000
-29157	10904	10840	64	64	7000
-29149	10904	10840	64	64	8000
-29151	10904	10840	64	64	8000
-29155	10904	10840	64	64	8000
-29153	10904	10840	64	64	8000
-29157	10904	10840	64	64	8000
-29158	10904	10840	64	64	8000
-29155	10904	10840	64	64	8000
-29159	10904	10840	64	64	8000
-29154	10904	10840	64	64	8000
-29153	10904	10864	40	40	8000
-29153	10904	10864	40	40	8000
-29152	10904	10864	40	40	8000
-29154	10904	10864	40	40	8000
-29159	10904	10864	40	40	8000
-29161	10904	10864	40	40	8000
-29155	10904	10864	40	40	8000
-29153	10904	10864	40	40	8000
-29154	10904	10864	40	40	8000
-29157	10904	10864	40	40	8000
-29152	10904	10864	40	40	8000
-29153	10904	10864	40	40	8000
-29161	10904	10864	40	40	8000
-29153	10904	10864	40	40	8000
-29172	10904	10864	40	40	8000
-29151	10904	10864	40	40	8000
-29161	10904	10864	40	40	8000
-29152	10904	10864	40	40	8000
-29152	10904	10864	40	40	8000
-29158	10904	10864	40	40	8000
-29154	10904	10864	40	40	8000
-29148	10904	10864	40	40	8000
-29149	10904	10864	40	40	8000
-29151	10904	10864	40	40	8000
-29151	10904	10864	40	40	8000
-29155	10904	10864	40	40	8000
-29157	10904	10864	40	40	8000
-29152	10904	10864	40	40	8000
-29153	10904	10864	40	40	8000
-29152	10904	10864	40	40	8000
-29153	10904	10864	40	40	8000
-29154	10904	10864	40	40	8000
-29153	10904	10864	40	40	8000
-29152	10904	10864	40	40	8000
-29149	10904	10864	40	40	8000
-29154	10904	10864	40	40	8000
-29155	10904	10864	40	40	8000
-29153	10904	10864	40	40	8000
-29154	10904	10864	40	40	8000
-29159	10904	10864	40	40	8000
-29153	10904	10864	40	40	8000
-29161	10904	10864	40	40	8000
-29149	10904	10864	40	40	8000
-29166	10904	10864	40	40	8000
-29153	10904	10864	40	40	8000
-29162	10904	10864	40	40	8000
-29154	10904	10864	40	40	8000
-29152	10904	10864	40	40	8000
-29157	10904	10864	40	40	8000
-29162	10904	10864	40	40	8000
-29162	10904	10864	40	40	7000
-29160	10904	10864	40	40	7000
-29159	10904	10864	40	40	7000
-29155	10904	10864	40	40	7000
-29155	10904	10864	40	40	7000
-29159	10904	10864	40	40	7000
-29162	10904	10864	40	40	7000
-29162	10904	10864	40	40	7000
-29160	10904	10864	40	40	7000
-29154	10904	10864	40	40	7000
-29157	10904	10864	40	40	7000
-29157	10904	10864	40	40	7000
-29154	10904	10864	40	40	7000
-29157	10904	10864	40	40	7000
-29157	10912	10864	48	48	7000
-29169	10912	10864	48	48	7000
-29140	10912	10864	48	48	7000
-29161	10912	10864	48	48	7000
-29159	10912	10864	48	48	7000
-29159	10912	10864	48	48	7000
-29161	10912	10864	48	48	7000
-29152	10912	10864	48	48	7000
-29149	10912	10864	48	48	7000
-29152	10912	10864	48	48	7000
-29158	10912	10864	48	48	7000
-29155	10912	10864	48	48	7000
-29155	10912	10864	48	48	7000
-29158	10912	10864	48	48	7000
-29155	10912	10864	48	48	7000
-29155	10912	10864	48	48	7000
-29157	10912	10864	48	48	7000
-29157	10912	10864	48	48	7000
-29157	10912	10864	48	48	7000
-29153	10912	10864	48	48	7000
-29159	10912	10864	48	48	7000
-29154	10912	10864	48	48	7000
-29159	10912	10864	48	48	7000
-29161	10912	10864	48	48	7000
-29154	10912	10864	48	48	7000
-29160	10912	10864	48	48	7000
-29154	10912	10864	48	48	7000
-29168	10912	10864	48	48	7000
-29153	10912	10864	48	48	7000
-29153	10912	10864	48	48	7000
-29162	10912	10864	48	48	7000
-29159	10912	10864	48	48	7000
-29162	10912	10864	48	48	7000
-29161	10912	10864	48	48	7000
-29160	10912	10864	48	48	7000
-29161	10912	10864	48	48	7000
-29161	10912	10864	48	48	7000
-29164	10912	10864	48	48	7000
-29160	10912	10864	48	48	7000
-29165	10912	10864	48	48	7000
-29155	10912	10864	48	48	7000
-29162	10912	10864	48	48	7000
-29154	10912	10864	48	48	7000
-29169	10912	10864	48	48	7000
-29158	10912	10864	48	48	7000
-29166	10912	10864	48	48	7000
-29168	10912	10864	48	48	7000
-29155	10912	10864	48	48	7000
-29159	10912	10864	48	48	7000
-29165	10912	10864	48	48	7000
-29161	10912	10864	48	48	7000
-29164	10912	10864	48	48	7000
-29165	10912	10864	48	48	7000
-29164	10912	10864	48	48	7000
-29161	10912	10864	48	48	7000
-29164	10912	10864	48	48	7000
-29164	10912	10864	48	48	7000
-29161	10912	10864	48	48	7000
-29162	10912	10864	48	48	7000
-29161	10912	10864	48	48	7000
-29159	10912	10864	48	48	7000
-29160	10912	10864	48	48	7000
-29162	10912	10864	48	48	7000
-29155	10912	10864	48	48	7000
-29161	10912	10864	48	48	7000
-29159	10912	10864	48	48	7000
-29161	10912	10864	48	48	7000
-29151	10912	10864	48	48	7000
-29164	10912	10864	48	48	7000
-29158	10912	10864	48	48	7000
-29159	10912	10864	48	48	7000
-29161	10912	10864	48	48	7000
-29159	10912	10864	48	48	7000
-29164	10912	10864	48	48	7000
-29160	10912	10864	48	48	7000
-29158	10912	10864	48	48	7000
-29159	10912	10864	48	48	7000
-29158	10912	10864	48	48	7000
-29160	10912	10864	48	48	7000
-29158	10912	10864	48	48	7000
-29157	10912	10864	48	48	7000
-29161	10912	10864	48	48	7000
-29146	10912	10864	48	48	7000
-29159	10912	10864	48	48	7000
-29158	10912	10864	48	48	7000
-29159	10912	10864	48	48	7000
-29154	10912	10856	
